time_epoch,time_iso,lat,lon,error_km,count,arrays,backazimuths,time_span_s,source_file
1598486855.75,2020-08-27T00:07:35.750000+00:00,-77.282572,-102.306391,0.0,2,0;1,85.0;165.0;100.0;340.0,92.55,locations_summary_20200827.csv
1598486876.075,2020-08-27T00:07:56.075000+00:00,-77.703733,-101.721742,0.0,2,0;1,215.0;165.0;215.0;340.0,98.7,locations_summary_20200827.csv
1598486848.825,2020-08-27T00:07:28.825000+00:00,-76.463132,-97.906049,0.0,2,0;1,215.0;265.0;215.0;265.0,17.05,locations_summary_20200827.csv
1598486863.975,2020-08-27T00:07:43.975000+00:00,-77.270118,-100.209344,0.0,3,0;1,215.0;315.0;215.0;315.0;100.0;315.0,26.675,locations_summary_20200827.csv
1598573146.15,2020-08-28T00:05:46.149999+00:00,-77.08568,-102.770596,0.0,2,0;1,110.0;175.0;295.0;160.0,45.9,locations_summary_20200828.csv
1598573139.962,2020-08-28T00:05:39.962499+00:00,-76.862639,-105.117854,0.0,2,0;1,110.0;235.0;295.0;235.0,18.825,locations_summary_20200828.csv
1598573183.25,2020-08-28T00:06:23.249999+00:00,-77.298825,-102.419015,0.0,2,0;1,270.0;160.0;270.0;170.0,10.85,locations_summary_20200828.csv
1598659576.175,2020-08-29T00:06:16.175000+00:00,-76.802266,-99.45929,0.0,2,0;1,25.0;110.0;205.0;100.0,70.05,locations_summary_20200829.csv
1598659673.45,2020-08-29T00:07:53.450000+00:00,-76.676464,-103.210117,0.0,2,0;1,315.0;155.0;315.0;45.0,15.15,locations_summary_20200829.csv
1598682877.987,2020-08-29T06:34:37.987500+00:00,-76.466295,-99.831564,0.0,2,0;1,10.0;260.0;10.0;265.0,46220.475,locations_summary_20200829.csv
1598784194.075,2020-08-30T10:43:14.075000+00:00,-77.500343,-100.924814,0.0,2,0;1,35.0;330.0;20.0;330.0,24.7,locations_summary_20200830.csv
1598938763.612,2020-09-01T05:39:23.612499+00:00,-77.265829,-100.478144,0.0,2,0;1,115.0;140.0;45.0;135.0,39559.775,locations_summary_20200901.csv
1599005181.175,2020-09-02T00:06:21.174999+00:00,-77.271059,-100.57244,0.0,4,0;1,50.0;130.0;300.0;320.0;115.0;140.0;70.0;145.0,166.15,locations_summary_20200902.csv
1599005196.737,2020-09-02T00:06:36.737499+00:00,-76.948718,-103.409976,0.0,2,0;1,300.0;10.0;115.0;180.0,63.625,locations_summary_20200902.csv
1599091793.2,2020-09-03T00:09:53.200000+00:00,-77.298825,-103.423577,0.0,2,0;1,90.0;5.0;270.0;0.0,299.6,locations_summary_20200903.csv
1599091768.85,2020-09-03T00:09:28.850000+00:00,-76.570239,-99.147793,0.0,2,0;1,20.0;90.0;205.0;90.0,5.7,locations_summary_20200903.csv
1599264467.375,2020-09-05T00:07:47.374999+00:00,-75.29583,-101.24612,0.0,3,0;1,175.0;20.0;355.0;200.0;355.0;200.0,228.575,locations_summary_20200905.csv
1599264387.112,2020-09-05T00:06:27.112499+00:00,-76.674533,-100.716289,0.0,2,0;1,175.0;95.0;355.0;285.0,138.625,locations_summary_20200905.csv
1599264396.325,2020-09-05T00:06:36.324999+00:00,-77.286812,-100.64246,0.0,2,0;1,125.0;140.0;200.0;140.0,9.65,locations_summary_20200905.csv
1599264666.562,2020-09-05T00:11:06.562499+00:00,-76.593259,-103.311209,0.0,2,0;1,315.0;200.0;140.0;210.0,363.475,locations_summary_20200905.csv
1599363320.612,2020-09-06T03:35:20.612500+00:00,-76.377396,-100.122274,0.0,2,0;1,5.0;255.0;185.0;75.0,25158.925,locations_summary_20200906.csv
1599350885.275,2020-09-06T00:08:05.275000+00:00,-77.123349,-103.255743,0.0,2,0;1,290.0;185.0;280.0;355.0,237.85,locations_summary_20200906.csv
1599350871.45,2020-09-06T00:07:51.450000+00:00,-77.286351,-100.347877,0.0,5,0;1,280.0;315.0;190.0;315.0;60.0;315.0;50.0;315.0;50.0;325.0,384.1,locations_summary_20200906.csv
1599350853.025,2020-09-06T00:07:33.025000+00:00,-77.421084,-99.546223,0.0,2,0;1,300.0;315.0;300.0;315.0,25.2,locations_summary_20200906.csv
1599369839.6,2020-09-06T05:23:59.600000+00:00,-76.505625,-101.582852,0.0,2,0;1,340.0;75.0;345.0;85.0,12613.1,locations_summary_20200906.csv
1599437165.825,2020-09-07T00:06:05.824999+00:00,-76.895298,-100.257621,0.0,2,0;1,190.0;120.0;185.0;110.0,86.45,locations_summary_20200907.csv
1599437212.237,2020-09-07T00:06:52.237499+00:00,-77.572045,-100.983243,0.0,2,0;1,190.0;330.0;215.0;155.0,166.075,locations_summary_20200907.csv
1599437131.812,2020-09-07T00:05:31.812499+00:00,-76.953924,-103.72528,0.0,2,0;1,295.0;185.0;295.0;25.0,26.425,locations_summary_20200907.csv
1599437224.375,2020-09-07T00:07:04.374999+00:00,-77.215482,-101.818257,0.0,2,0;1,295.0;330.0;95.0;155.0,177.6,locations_summary_20200907.csv
1599437184.262,2020-09-07T00:06:24.262499+00:00,-76.584703,-103.613177,0.0,4,0;1,315.0;25.0;315.0;85.0;315.0;50.0;315.0;110.0,24.475,locations_summary_20200907.csv
1599523726.25,2020-09-08T00:08:46.249999+00:00,-76.744916,-103.375988,0.0,2,0;1,310.0;180.0;310.0;195.0,203.25,locations_summary_20200908.csv
1599523689.775,2020-09-08T00:08:09.774999+00:00,-75.983876,-100.214083,0.0,2,0;1,185.0;230.0;0.0;230.0,17.05,locations_summary_20200908.csv
1599696328.2,2020-09-10T00:05:28.200000+00:00,-76.508746,-101.739515,0.0,2,0;1,340.0;265.0;340.0;255.0,9.35,locations_summary_20200910.csv
1599696546.075,2020-09-10T00:09:06.075000+00:00,-77.014172,-103.619694,0.0,3,0;1,295.0;190.0;110.0;0.0;110.0;200.0,62.4,locations_summary_20200910.csv
1599796577.625,2020-09-11T03:56:17.625000+00:00,-77.408591,-100.710745,0.0,2,0;1,35.0;150.0;345.0;140.0,27601.3,locations_summary_20200911.csv
1599869271.925,2020-09-12T00:07:51.925000+00:00,-77.190844,-104.002765,0.0,2,0;1,100.0;20.0;275.0;190.0,184.3,locations_summary_20200912.csv
1599900393.7,2020-09-12T08:46:33.700000+00:00,-76.709286,-104.961642,0.0,2,0;1,300.0;250.0;300.0;250.0,16.7,locations_summary_20200912.csv
1599955598.85,2020-09-13T00:06:38.850000+00:00,-77.273141,-100.441054,0.0,4,0;1,25.0;320.0;0.0;320.0;310.0;320.0;240.0;310.0,192.525,locations_summary_20200913.csv
1600041935.175,2020-09-14T00:05:35.175000+00:00,-77.332944,-101.155991,0.0,2,0;1,95.0;145.0;65.0;330.0,47.85,locations_summary_20200914.csv
