time_epoch,time_iso,lat,lon,error_km,count,arrays,union_arrays_count,backazimuths,time_span_s,triangulated,source_file
1578787511.7,2020-01-12T00:05:11.700000+00:00,-76.354374,-99.744879,0.0,1,0;1,2,10.0;75.0,0.0,True,locations_summary_20200112_triangulated.csv
1578787540.025,2020-01-12T00:05:40.024999+00:00,-77.098339,-100.519079,0.0,3,0;1,2,10.0;130.0;15.0;130.0;340.0;130.0,17.775,True,locations_summary_20200112_triangulated.csv
1578787572.75,2020-01-12T00:06:12.750000+00:00,-80.223868,-95.799968,0.0,1,0;1,2,340.0;155.0,0.0,True,locations_summary_20200112_triangulated.csv
1578787586.412,2020-01-12T00:06:26.412499+00:00,-77.544308,-101.288426,0.0,2,0;1,2,30.0;155.0;225.0;155.0,10.075,True,locations_summary_20200112_triangulated.csv
1578796498.425,2020-01-12T02:34:58.424999+00:00,-77.295785,-101.566127,0.0,3,0;1,2,85.0;155.0;105.0;150.0;260.0;150.0,8911.05,True,locations_summary_20200112_triangulated.csv
1578787623.025,2020-01-12T00:07:03.024999+00:00,-77.202709,-95.650699,0.0,1,0;1,2,85.0;290.0,0.0,True,locations_summary_20200112_triangulated.csv
1578787752.837,2020-01-12T00:09:12.837499+00:00,-76.603196,-103.276293,0.0,4,0;1,2,320.0;290.0;320.0;80.0;135.0;100.0;135.0;340.0,254.3,True,locations_summary_20200112_triangulated.csv
1578787661.0,2020-01-12T00:07:41+00:00,-76.311465,-96.837197,0.0,1,0;1,2,40.0;80.0,0.0,True,locations_summary_20200112_triangulated.csv
1578787700.175,2020-01-12T00:08:20.175000+00:00,-74.028191,-99.219483,0.0,1,0;1,2,5.0;200.0,0.0,True,locations_summary_20200112_triangulated.csv
1578787749.425,2020-01-12T00:09:09.424999+00:00,-85.21016,-106.60387,0.0,1,0;1,2,190.0;185.0,0.0,True,locations_summary_20200112_triangulated.csv
1578787763.0,2020-01-12T00:09:23+00:00,-76.570239,-99.912071,0.0,1,0;1,2,190.0;270.0,0.0,True,locations_summary_20200112_triangulated.csv
1578787767.05,2020-01-12T00:09:27.049999+00:00,-77.764629,-100.83715,0.0,1,0;1,2,190.0;155.0,0.0,True,locations_summary_20200112_triangulated.csv
1578787779.325,2020-01-12T00:09:39.325000+00:00,-76.570239,-102.32409,0.0,1,0;1,2,150.0;270.0,0.0,True,locations_summary_20200112_triangulated.csv
1578787783.375,2020-01-12T00:09:43.375000+00:00,-74.603092,-107.312827,0.0,1,0;1,2,150.0;155.0,0.0,True,locations_summary_20200112_triangulated.csv
1578788313.975,2020-01-12T00:18:33.974999+00:00,-72.479733,-96.743888,0.0,1,0;1,2,190.0;200.0,0.0,True,locations_summary_20200112_triangulated.csv
1578796521.475,2020-01-12T02:35:21.474999+00:00,-77.694669,-110.337326,0.0,1,0;1,2,260.0;235.0,0.0,True,locations_summary_20200112_triangulated.csv
1578873906.925,2020-01-13T00:05:06.925001+00:00,-77.091259,-100.556143,0.0,1,0;1,2,355.0;310.0,0.0,True,locations_summary_20200113_triangulated.csv
1578873923.775,2020-01-13T00:05:23.775001+00:00,-76.867532,-100.483138,0.0,2,0;1,2,355.0;115.0;5.0;115.0,9.25,True,locations_summary_20200113_triangulated.csv
1578873942.875,2020-01-13T00:05:42.875000+00:00,-78.547602,-100.956276,0.0,1,0;1,2,5.0;345.0,0.0,True,locations_summary_20200113_triangulated.csv
1578874163.388,2020-01-13T00:09:23.387500+00:00,-76.917355,-99.109753,0.0,2,0;1,2,225.0;115.0;215.0;285.0,461.825,True,locations_summary_20200113_triangulated.csv
1578873946.95,2020-01-13T00:05:46.950001+00:00,-77.648889,-102.014039,0.0,1,0;1,2,225.0;345.0,0.0,True,locations_summary_20200113_triangulated.csv
1578873958.725,2020-01-13T00:05:58.725001+00:00,-78.127084,-101.451215,0.0,1,0;1,2,15.0;345.0,0.0,True,locations_summary_20200113_triangulated.csv
